Open,High,Low,Close,Adj Close,Volume,implied_volatility,log_return,realized_volatility_10d,realized_volatility_20d,realized_volatility_60d
1094.81005859375,1111.0999755859375,1094.81005859375,1111.0899658203125,1111.0899658203125,1685400000,0.16389999389648438,0.014769741930593296,0.12902584516604232,0.11918201200686163,0.11664675114310584
1111.0899658203125,1126.2900390625,1107.4300537109375,1125.4000244140625,1125.4000244140625,1741900000,0.15720000267028808,0.01279706499569654,0.14028884910839312,0.12679420385171863,0.11874558180214088
1125.3399658203125,1130.6700439453125,1120.5999755859375,1127.43994140625,1127.43994140625,1628200000,0.15390000343322754,0.001810974219785502,0.12775987388240637,0.12685372443604598,0.11874708223995731
1127.43994140625,1131.4000244140625,1124.6199951171875,1130.199951171875,1130.199951171875,1500800000,0.16270000457763673,0.0024450410800191053,0.12715620479525735,0.11509473230658356,0.1134672705192488
1130.199951171875,1133.4100341796875,1127.5999755859375,1130.510009765625,1130.510009765625,1395900000,0.16270000457763673,0.00027430196801133506,0.12601584015073342,0.11444809837198568,0.10824185437314741
1130.510009765625,1140.47998046875,1128.1199951171875,1130.56005859375,1130.56005859375,1659000000,0.16180000305175782,4.4270037300915227e-05,0.11025179093493302,0.11444110265870779,0.10825934806376418
1130.5400390625,1147.5699462890625,1130.5400390625,1143.199951171875,1143.199951171875,1767500000,0.14039999961853028,0.011118167905890102,0.11755813761498808,0.11898284885639615,0.10748554783869062
1143.199951171875,1161.6700439453125,1142.3399658203125,1161.6700439453125,1161.6700439453125,1782700000,0.1397000026702881,0.01602735788842387,0.13291572515399977,0.12547467842880122,0.11148552828709961
1161.6700439453125,1170.8699951171875,1160.6600341796875,1166.1700439453125,1166.1700439453125,1724400000,0.13840000152587892,0.003866249772795957,0.10574441206686644,0.12119645334112551,0.10823932888717525
1166.1700439453125,1166.77001953125,1162.3199462890625,1164.8900146484375,1164.8900146484375,1358700000,0.13800000190734862,-0.0010982380490906095,0.10620081635838385,0.1216687869304616,0.10837433599085763
1164.8900146484375,1168.9599609375,1162.47998046875,1164.0799560546875,1164.0799560546875,1450800000,0.13609999656677246,-0.0006956368150782177,0.09944211300464903,0.12110234742336008,0.10549548339167582
